Time,Data
20050112,13.1
20050113,13.1
20050114,13.2
20050115,13.0
20050116,13.2
20050117,12.9
20050118,12.6
20050119,13.0
20050120,13.0
20050121,12.9
20050122,13.3
20050123,12.9
20050124,13.3
20050125,13.4
20050126,13.0
20050127,13.3
20050128,13.2
20050129,13.2
20050130,12.9
20050131,13.1
20050201,12.9
20050202,13.2
20050203,12.9
20050204,12.9
20050205,12.7
20050206,12.8
20050207,12.5
20050208,12.5
20050209,12.6
20050210,12.4
20050211,12.5
20050212,12.4
20050213,12.4
20050214,12.9
20050215,12.9
20050216,12.1
20050217,12.6
20050218,12.3
20050219,12.9
20050220,13.1
20050221,12.4
20050222,12.9
20050223,12.3
20050224,12.7
20050225,12.5
20050226,12.6
20050227,12.3
20050228,12.0
20050301,12.0
20050302,12.1
20050303,12.3
20050304,12.1
20050305,12.6
20050306,13.1
20050307,13.1
20050308,13.2
20050309,13.4
20050310,13.0
20050311,12.6
20050312,13.0
20050313,13.3
20050314,13.0
20050315,12.9
20050316,12.9
20050317,12.8
20050318,12.9
20050319,12.6
20050320,12.7
20050321,13.1
20050322,13.0
20050323,13.1
20050324,12.9
20050325,13.4
20050326,12.8
20050327,13.3
20050328,13.3
20050329,13.3
20050330,12.7
20050331,13.1
20050401,13.4
20050402,12.9
20050403,13.1
20050404,13.2
20050405,13.4
20050406,13.1
20050407,13.4
20050408,15.3
20050409,14.4
20050410,14.6
20050411,14.9
20050412,14.5
20050413,14.9
20050414,14.5
20050415,15.1
20050416,15.0
20050417,15.0
20050418,14.5
20050419,14.8
20050420,14.6
20050421,14.9
20050422,14.8
20050423,14.8
20050424,14.6
20050425,14.6
20050426,14.8
20050427,14.8
20050428,15.1
20050429,15.3
20050430,14.8
20050501,15.4
20050502,15.0
20050503,14.8
20050504,15.0
20050505,14.6
20050506,14.7
20050507,14.9
20050508,15.0
20050509,15.0
20050510,15.5
20050511,15.1
20050512,15.3
20050513,14.7
20050514,14.9
20050515,14.7
20050516,14.7
20050517,15.4
20050518,15.3
20050519,15.2
20050520,14.8
20050521,15.0
20050522,14.9
20050523,15.3
20050524,15.4
20050525,15.6
20050526,15.1
20050527,15.2
20050528,15.0
20050529,15.3
20050530,14.9
20050531,14.8
20050601,14.9
20050602,15.0
20050603,15.2
20050604,15.4
20050605,15.3
20050606,15.2
20050607,15.6
20050608,15.7
20050609,15.9
20050610,15.8
20050611,16.3
20050612,16.2
20050613,15.5
20050614,15.7
20050615,15.8
20050616,15.9
20050617,15.4
20050618,15.6
20050619,15.2
20050620,15.1
20050621,15.0
20050622,15.4
20050623,15.6
20050624,15.6
20050625,15.5
20050626,15.3
20050627,15.2
20050628,15.3
20050629,15.8
20050630,15.2
20050701,15.1
20050702,15.6
20050703,15.1
20050704,15.6
20050705,15.0
20050706,15.7
20050707,15.8
20050708,15.9
20050709,16.0
20050710,15.6
20050711,15.7
20050712,16.2
20050713,15.6
20050714,15.9
20050715,15.6
20050716,15.7
20050717,15.3
20050718,15.7
20050719,16.0
20050720,15.6
20050721,15.8
20050722,15.8
20050723,15.8
20050724,15.9
20050725,15.9
20050726,15.1
20050727,15.7
20050728,15.9
20050729,15.8
20050730,15.7
20050731,15.8
20050801,15.6
20050802,15.7
20050803,15.3
20050804,16.3
20050805,15.8
20050806,15.7
20050807,15.7
20050808,15.9
20050809,16.1
20050810,16.5
20050811,16.6
20050812,16.1
20050813,15.9
20050814,16.4
20050815,16.4
20050816,16.4
20050817,16.1
20050818,16.5
20050819,16.1
20050820,15.9
20050821,16.1
20050822,15.6
20050823,15.9
20050824,15.5
20050825,15.6
20050826,15.5
20050827,15.6
20050828,15.7
20050829,15.5
20050830,16.1
20050831,16.9
20050901,16.4
20050902,16.4
20050903,16.8
20050904,16.3
20050905,16.4
20050906,15.9
20050907,16.3
20050908,16.5
20050909,15.9
20050910,16.3
20050911,16.2
20050912,16.5
20050913,16.5
20050914,16.3
20050915,16.1
20050916,16.2
20050917,16.2
20050918,16.0
20050919,16.6
20050920,16.3
20050921,16.4
20050922,16.1
20050923,15.9
20050924,16.0
20050925,15.7
20050926,15.6
20050927,16.3
20050928,16.3
20050929,15.7
20050930,15.8
20051001,15.6
20051002,15.3
20051003,15.6
20051004,15.2
20051005,15.9
20051006,15.7
20051007,15.3
20051008,15.3
20051009,15.7
20051010,15.7
20051011,15.9
20051012,15.3
